Texto del mensaje,Aplica a sano,Aplica a indicada,
"Algunas veces nos pasan cosas muy desagradables que nos hacen sentirnos fatal, ¿sabrías decirme algún ejemplo?",x,,
Una vez me pasó una cosa que me hizo sentir triste y avegonzado y también un poco enfadado. Me daba mucha cosa contarselo a alguien. ¿Cómo crees que podia sentirme?,x,,
"Desde que me pasó eso tan desagradable, noto que estoy todo el rato sin parar de pensar en ese día. No me puedo concentrar en mis cosas ¿cómo crees que te afectaría a ti algo así?",x,,
"Odio tener que recordar todo el tiempo lo que me pasó, ¿te imaginas lo desagradable que puede ser eso?",x,,
"A veces tengo pesadillas con aquel día. Es que no puedo sacar de mi mente todo lo que pasó, ¿que harías tú con todo este agobio?",x,,
"Es que noto que cuando pienso en todo lo que ví y sentí ese día... Uff, me pongo fatal, me sudan las manos, me duele la barriga y tengo náuseas. El corazón me va a mil y me agobio bastante, ¿cómo crees que podría solucionarlo?",x,,
"A lo mejor te parece una tontería, pero cuando se que voy a pasar cerca del sitio por donde me pasó eso tan horrible... Intento siempre desviarme e ir por otro sitio, ¿cómo crees que afecta eso a mi vida cotidiana?",x,x,
"Es un poco raro, pero no recuerdo exactmente todo lo que me pasó aquel día tan horrible. Es como si tuviera lagunas en la memoria, ¿por qué crees que me pasa eso?",x,x,
Me siento muy rarx desde que me pasó eso... Siento como si fuera súper diferente al resto de mis amigos. Es como si ellos no pudieran entender todo esto que me ha pasado. ¿Me das algún consejo para esto?,x,x,
"Siento que en realidad eso que me pasó fue un poco porque me lo busqué yo... Creo que tuve la culpa. Por eso me da tanta cosa contárselo a alguien, ¡qué vergüenza! ¿Qué crees que debería hacer?",x,x,
"Siento que después de lo que me pasó ya no puedo confiar en nadie, no pensaré nunca más que el mundo es un lugar seguro. ¿Qué puedo hacer ahora?",x,,
"Me siento enfadado, avergonzado, triste y culpable por lo que pasó... A veces creo que me paso un poco y lo pago con las personas que más quiero, estoy súper irritable con ellos y todo lo que hacen o dicen me sienta mal, ¿qué puedo hacer para solucionar todo esto?",x,,
"Lo que me pasó es como un gran secreto, me come por dentro pero me da muchísimo miedo contarlo, ¿cómo crees que puedo pedir ayuda?",x,,
"Algunas veces nos pasan cosas muy desagradables que nos hacen sentirnos fatal, ¿podrías contarme que te pasó?",,x,
A mi también me pasó una cosa que me hizo sentir triste y avegonzado y también un poco enfadado. Me daba mucha cosa contarselo a alguien. ¿cómo te sentías tú?,,x,
"Desde que me pasó eso tan desagradable, noto que estoy todo el rato sin parar de pensar en ese día. No sé si a ti tambien te cuesta concentrate en tus cosas desde entonces, ¿cómo te afecta a ti lo que te pasó?",,x,
"Odio tener que recordar todo el tiempo lo que me pasó. A veces siento que no me lo puedo quitar de la cabeza, ¿qué haces tú cuándo te vienen pensamientos sobre lo que te pasó?",,x,
"A veces tengo pesadillas con aquel día. Es que no puedo sacar de mi mente todo lo que pasó, ¿qué haces tú con todo este agobio?",,x,
"Es que noto que cuando pienso en todo lo que ví y sentí ese día... Uff, me pongo fatal, me sudan las manos, me duele la barriga y tengo náuseas. El corazón me va a mil y me agobio bastante, ¿qué notas tú en el cuerpo cuando piensas en la sitaución tan desagradable que viviste?",,x,
"Las cosas que me recuerdan a algo de lo que ví o sentí ese día me molestan bastante, ¿que haces tú cuando hay algo que te recuerda a esa situación?",,x,
"Siento que después de lo que me pasó ya no puedo confiar en nadie, no pensaré nunca más que el mundo es un lugar seguro. ¿Qué haces tú cuando piensas estas cosas?",,x,
"Me siento enfadado, avergonzado, triste y culpable por lo que pasó... A veces creo que me paso un poco y lo pago con las personas que más quiero, estoy súper irritable con ellos y todo lo que hacen o dicen me sienta mal, ¿cómo afecta todo lo que viviste a tu relación con tus seres queridos?",,x,
"Lo que me pasó es como un gran secreto, me come por dentro pero me da muchísimo miedo contarlo, ¿cómo pedirías ayuda tú en esta situación?",,x,